record_id,product_name,brand_name,brand_confidence,product_type,vendor,price_usd,commission_type,commission_pct,commission_flat_usd,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,promotion_status,promotable_now,product_age_days,online_since_iso,derived_niche,risk_flags,source_page,parse_flags
354,The Ultimate Keto Dessert Recipe Book,The Ultimate Keto Dessert Recipe Book,MEDIUM,E-books,Timbmwm3,16.38,percent,50.0,UNKNOWN,8.19,UNKNOWN,UNKNOWN,Promote now,YES,286.0,2025-11-11,weight-loss,NONE,4,
355,Oneness in the Depth of Your Heart - Online Course,Online Course,HIGH,Downloads,phoenix555,47.0,percent,33.0,UNKNOWN,25.87,UNKNOWN,UNKNOWN,Promote now,YES,2264.0,2020-06-12,education-courses,NONE,4,
356,LinkedIN Success,LinkedIN Success,HIGH,E-books,familiensparplan,1.17,percent,100.0,UNKNOWN,1.17,UNKNOWN,UNKNOWN,Promote now,YES,2159.0,2020-09-25,other,NONE,4,
357,Raspberry Pi for Beginners (Mac+PC),Raspberry Pi for Beginners (Mac+PC),MEDIUM,Downloads,FIMA2011,17.49,percent,50.0,UNKNOWN,14.62,UNKNOWN,UNKNOWN,Promote now,YES,2663.0,2019-05-10,other,NONE,4,
358,Magnesium Breakthrough,Magnesium Breakthrough,HIGH,Deliverable,biOptimizers,46.8,percent,30.0,UNKNOWN,14.04,UNKNOWN,UNKNOWN,Request promotion,NO,1994.0,2021-03-09,health-supplement,SUPPLEMENT|MIRACLE_CLAIM,4,
359,Stealth Attraction,Stealth Attraction,HIGH,Member area and video courses,seductiongurus,81.83,percent,50.0,UNKNOWN,40.92,UNKNOWN,UNKNOWN,Promote now,YES,1216.0,2023-04-26,education-courses,NONE,4,
360,Focus IQ,Focus IQ,HIGH,Supplements - health,AlSearsMD,70.14,percent,65.0,UNKNOWN,45.59,UNKNOWN,UNKNOWN,Request promotion,NO,621.0,2024-12-11,health-supplement,SUPPLEMENT,4,
361,Ebook: How To Deal With Anxiety,Ebook: How To Deal With Anxiety,MEDIUM,E-books,hygorfelix,22.23,percent,70.0,UNKNOWN,15.56,UNKNOWN,UNKNOWN,Promote now,YES,1235.0,2023-04-07,mental-wellbeing,NONE,4,
362,1 Month Vegan Challenge,1 Month Vegan Challenge,MEDIUM,E-books,plantbasedresource,17.0,percent,50.0,UNKNOWN,9.94,UNKNOWN,UNKNOWN,Promote now,YES,504.0,2025-04-07,other,NONE,4,PRICE_APPROX
363,Veganize Baking,Veganize Baking,HIGH,E-books,plantbasedresource,14.04,percent,60.0,UNKNOWN,8.42,UNKNOWN,UNKNOWN,Promote now,YES,1010.0,2023-11-18,other,NONE,4,
364,The Complete Plant Based Recipe Cookbook - 200+ Vegan Recipe,The Complete Plant Based Recipe Cookbook,MEDIUM,E-books,plantbasedresource,27.0,percent,75.0,UNKNOWN,12.75,UNKNOWN,UNKNOWN,Promote now,YES,842.0,2024-05-04,gardening,NONE,4,
365,"Plant-Based For Kids Cookbook - 100+ Fun, Easy Vegan Recipes",Plant-Based For Kids Cookbook,HIGH,E-books,plantbasedresource,19.89,percent,60.0,UNKNOWN,11.93,UNKNOWN,UNKNOWN,Promote now,YES,434.0,2025-06-16,gardening,NONE,4,
366,Advanced Joint Support,Advanced Joint Support,HIGH,Supplements - health,soundview,81.83,percent,60.0,UNKNOWN,49.1,UNKNOWN,UNKNOWN,Promote now,YES,517.0,2025-03-25,health-supplement,SUPPLEMENT|MEDICAL,4,
