record_id,product_name,brand_name,brand_confidence,product_type,vendor,price_usd,commission_type,commission_pct,commission_flat_usd,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,promotion_status,promotable_now,product_age_days,online_since_iso,derived_niche,risk_flags,source_page,parse_flags,econ_score,sc_payout,sc_commission,sc_conversion,sc_retention,sc_promotable,sc_effort_worth,sc_stability
790,Lanta Flat Belly Shake,Lanta Flat Belly Shake,HIGH,Supplements - health,mysteryoffers,207.07,percent,70.0,UNKNOWN,144.95,UNKNOWN,UNKNOWN,Promote now,YES,1397.0,2022-10-27,weight-loss,NONE,8,,78.03,24.83,11.2,8.0,8.0,10.0,13.0,3.0
138,7-Figure ELITE Partnership,7-Figure ELITE Partnership,HIGH,Member area and video courses,Perpincome,1077.7,percent,50.0,UNKNOWN,439.11,5.0,12.05,Promote now,YES,1244.0,2023-03-29,education-courses,NONE,2,,77.85,25.0,8.0,5.56,13.3,10.0,13.0,3.0
318,KetoDNA - The Keto Diet Offer Your Audience Hasn’t Seen Yet,KetoDNA,HIGH,Software,HoK-Group,11.69,percent,85.0,UNKNOWN,178.0,UNKNOWN,UNKNOWN,Promote now,YES,216.0,2026-01-20,weight-loss,NONE,4,,77.5,25.0,12.0,8.0,8.0,10.0,13.0,1.5
320,From Zero to Commission,From Zero to Commission,MEDIUM,E-books,ZeroToCommission,247.0,percent,75.0,UNKNOWN,185.25,UNKNOWN,UNKNOWN,Promote now,YES,195.0,2026-02-10,other,NONE,4,,77.5,25.0,12.0,8.0,8.0,10.0,13.0,1.5
333,The Subconscious Millionaire System,The Subconscious Millionaire System,HIGH,Downloads,darrelltee,230.47,percent,75.0,UNKNOWN,172.85,UNKNOWN,UNKNOWN,Promote now,YES,295.0,2025-11-02,other,NONE,4,,77.5,25.0,12.0,8.0,8.0,10.0,13.0,1.5
478,AI × Keto Diet That Converts — Earn up to $480 per sale,AI × Keto Diet That Converts,HIGH,Software,HoK-Group,23.4,percent,80.0,UNKNOWN,561.55,UNKNOWN,UNKNOWN,Promote now,YES,357.0,2025-09-01,weight-loss,MAKE_MONEY,5,,77.5,25.0,12.0,8.0,8.0,10.0,13.0,1.5
847,Rank in ChatGPT – Earn $200+/Sale (75%),Rank in ChatGPT,HIGH,Software,Rafa1217,347.46,percent,75.0,UNKNOWN,260.6,UNKNOWN,UNKNOWN,Promote now,YES,160.0,2026-03-17,ai-software,MAKE_MONEY,9,,77.5,25.0,12.0,8.0,8.0,10.0,13.0,1.5
128,Get Paid To Do Simple Writing Jobs Online,Do Simple Writing Jobs Online,HIGH,Member area and video courses,socialpaid,48.95,percent,75.0,UNKNOWN,82.97,9.0,19.99,Promote now,YES,1845.0,2021-08-05,education-courses,MAKE_MONEY,2,,77.49,22.08,12.0,10.0,7.41,10.0,13.0,3.0
636,Neuroxen,Neuroxen,HIGH,Supplements - health,RM7866,184.84,percent,70.0,UNKNOWN,129.39,UNKNOWN,UNKNOWN,Promote now,YES,395.0,2025-07-25,health-supplement,SUPPLEMENT,7,,77.47,24.27,11.2,8.0,8.0,10.0,13.0,3.0
301,Promote Vigortrix Now!,Vigortrix,HIGH,Supplements - health,MaxiOffer,242.17,percent,65.0,UNKNOWN,157.41,UNKNOWN,UNKNOWN,Promote now,YES,657.0,2024-11-05,health-supplement,SUPPLEMENT,4,,77.4,25.0,10.4,8.0,8.0,10.0,13.0,3.0
